a,e,i,c,Class
20.31,0.57,24.7,52.82,Centaurs
24.54,0.52,15.65,43.35,Centaurs
18.06,0.62,17.62,13.61,Centaurs
15.77,0.17,23.39,14.43,Centaurs
20.02,0.14,9.37,20.84,Centaurs
26.16,0.38,12.64,34.99,Centaurs
12.59,0.41,5.6,24.71,Centaurs
17.94,0.46,6.78,18.7,Centaurs
16.5,0.2,20.74,8.93,Centaurs
10.64,0.2,20.35,10.31,Centaurs
17.45,0.18,17.43,8.83,Centaurs
22.03,0.37,22.47,2.61,Centaurs
25.03,0.39,13.34,37.88,Centaurs
19.4,0.28,12.77,24.61,Centaurs
23.06,0.22,15.02,23.4,Centaurs
12.55,0.31,19.46,36.28,Centaurs
25.79,0.19,9.35,40.4,Centaurs
25.43,0.37,7.28,2.0,Centaurs
20.72,0.47,19.74,11.03,Centaurs
20.14,0.26,11.17,13.1,Centaurs
22.93,0.15,21.45,5.5,Centaurs
24.51,0.04,12.26,31.3,Centaurs
28.85,0.52,35.46,8.84,Centaurs
22.08,0.46,36.3,11.0,Centaurs
15.85,0.38,31.61,4.9,Centaurs
23.95,0.4,33.13,7.5,Centaurs
19.91,0.23,28.76,11.0,Centaurs
15.92,0.34,21.35,7.35,Centaurs
14.69,0.31,27.12,29.82,Centaurs
18.55,0.32,26.7,10.0,Centaurs
20.25,0.38,15.41,32.7,Centaurs
29.23,0.31,15.07,29.0,Centaurs
13.43,0.37,22.53,8.9,Centaurs
23.19,0.38,21.32,12.5,Centaurs
21.98,0.48,15.39,9.9,Centaurs
83.42,0.58,23.98,1.56,Scattered
33.27,0.38,14.25,29.03,Scattered
122.4,0.69,25.93,12.7,Scattered
101.73,0.7,25.5,12.71,Scattered
95.78,0.87,5.96,10.51,Scattered
36.64,0.23,13.51,8.38,Scattered
49.2,0.54,5.95,13.52,Scattered
562.1,0.96,20.07,25.98,Scattered
34.74,0.56,6.79,12.57,Scattered
215.84,0.84,30.8,19.62,Scattered
85.33,0.62,12.72,19.43,Scattered
61.67,0.45,15.48,7.9,Scattered
206.81,0.83,14.19,19.17,Scattered
34.42,0.59,7.71,11.1,Scattered
30.9,0.57,16.64,14.2,Scattered
100.62,0.82,22.3,13.86,Scattered
159.63,0.76,15.5,14.38,Scattered
41.51,0.48,34.82,12.8,Scattered
174.64,0.83,6.17,32.8,Scattered
92.28,0.64,16.27,8.1,Scattered
799.41,0.97,19.46,25.44,Scattered
503.03,0.93,18.59,14.44,Scattered
192.12,0.82,11.98,15.5,Scattered
143.31,0.75,8.58,8.9,Scattered
55.82,0.72,22.25,13.7,Scattered
49.87,0.78,5.68,35.9,Scattered
30.99,0.29,13.75,22.9,Scattered
56.47,0.53,13.3,18.3,Scattered
88.73,0.56,19.71,13.19,Detached
52.68,0.26,17.2,13.38,Detached
48.76,0.3,24.82,38.31,Detached
48.59,0.25,30.88,41.96,Detached
59.49,0.4,19.7,14.54,Detached
98.33,0.6,23.36,15.67,Detached
54.31,0.34,18.42,4.07,Detached
58.47,0.38,19.88,0.86,Detached
54.05,0.36,28.69,12.15,Detached
58.1,0.39,28.53,14.41,Detached
61.79,0.39,5.79,9.88,Detached
55.3,0.29,22.46,16.6,Detached
46.16,0.49,44.89,14.3,Detached
150.15,0.73,33.54,18.5,Detached
56.77,0.37,27.67,15.2,Detached
