a,e,i,c
41.30493934,0.02570883,12.7336892,13.785976096268907
47.54693131,0.29236585,12.68793084,18.797906080546
39.38363198,0.13894426,11.46171308,14.18946653414038
43.1653078,0.07348575,12.41009409,34.73709234987873
39.37795977,0.11110883,22.35193671,-0.8692799097783911
39.34073092,0.19248706,6.48959422,29.566390638967597
39.38059507,0.10894925,6.71172717,5.927463568409815
43.63454172,0.13622551,5.54182209,27.01372866585408
39.24012169,0.19423887,6.49525962,30.49366550287939
45.32835043,0.13241578,7.11624789,16.58942029375242
38.76065309,0.07126309,5.40561453,16.95966521346201
43.76441627,0.07622892,10.35921999,26.695210480142816
39.30621806,0.13352223,9.53134345,30.802263790077884
42.6538522,0.0799589,28.56716822,0.34350502822852597
190.33116553,0.79201025,16.79666443,11.59687179841377
67.83513571,0.43842779,43.99290474,2.3392689108881743
40.88321562,0.08388938,24.1208265,6.409735544013964
38.85120184,0.06537406,24.83740424,18.245323059804477
61.99828326,0.39319967,6.4818817,10.708545746592284
174.5762186,0.83243949,6.17510434,27.434824535953062
111.83979175,0.67009049,14.02968792,17.348969845916617
41.50990375,0.02250604,19.27181105,17.75014333439199
92.24350389,0.64156956,16.27526236,6.85742800400575
75.65851027,0.38936448,26.47961314,17.956269624241706
42.22670829,0.17477196,9.37736878,27.597098141202775
47.93847797,0.29159009,31.37960944,17.665993205828947
30.23468425,0.30054513,36.10094024,5.88547245934007
57.12094688,0.40809947,6.54070705,9.923793771760952
41.52791593,0.13142376,22.2774871,10.692807518259402
45.78190467,0.03214039,26.54382199,13.227629634671375
39.40679718,0.24254605,18.797819,24.520014479932005
75.77336337,0.5127867,30.74120505,8.856512326927945
49.27794812,0.24857097,7.16803523,30.6239472679347
40.40860206,0.05845136,27.95428485,3.9519658751976974
46.76221947,0.29475513,13.84852353,20.111677051328343
42.99994476,0.17378295,28.69057288,-1.1906754240825559
46.86605,0.12161305,17.04837145,26.539582704940795
62.85632739,0.36495846,38.90087605,-2.4203818247646844
38.99976717,0.45955142,22.45242293,1.6024182524189985
30.16074518,0.01184812,9.63855292,17.84266206438075
42.26936122,0.19702387,9.6309869,29.77184881058996
39.38765951,0.13863209,9.57601248,7.077068329698659
47.69612374,0.17197325,19.28382564,11.967020319203842
55.07270603,0.30933231,26.78545973,12.331265858250816
39.48975153,0.07700229,30.12484855,21.801093644985535
46.09203813,0.11578406,15.66878613,24.028807933262016
76.52621432,0.51036509,23.68324435,3.6374786299584363
47.64798325,0.24564958,25.68891763,22.041007127841755
39.37856098,0.29032761,19.01345312,26.08860903062088
49.02636941,0.34367962,14.3202443,12.965886860491455
39.96711994,0.03263212,20.60295734,30.00096870774212
40.6445037,0.16946167,25.44137142,9.726801108689514
41.01962958,0.04246193,32.36972434,17.690286102866246
50.45549221,0.26341109,32.48915599,8.337066916818118
462.87142999,0.90059623,12.39967911,9.895834547260776
30.96754307,0.08340081,13.07883559,9.782871509373967
54.66040297,0.39372149,37.62948947,6.4522865067091235
45.82164397,0.16736959,18.98990868,11.269974941885149
40.20362274,0.10793801,23.15164855,8.24333949245018
38.86998871,0.11336248,38.96287204,3.6232672404862
39.55165402,0.22790872,8.70941049,17.378808984167954
46.4397436,0.20571223,20.35997796,14.91855712394422
42.20356008,0.25685769,21.93922683,24.14770189706662
39.41802985,0.27917408,43.51455814,6.123950207158698
172.69911226,0.78324523,34.99972097,9.519296851078247
39.24489923,0.251001,12.81870037,12.477274036283022
30.05636082,0.05721526,7.44983004,-5.013670096006146
32.3801417,0.08108492,11.11941924,5.6030291426304775
42.89518515,0.09592899,15.43393273,9.43249328373536
46.80491712,0.07561588,29.16933513,-5.856381125134371
37.64332971,0.09927659,12.1589567,17.61107157898972
97.20392989,0.6320473,32.68604433,6.2279061420125865
39.45154986,0.23282574,19.54609883,9.034941031870487
43.64831609,0.1518338,5.41706907,29.929018223041048
120.86270929,0.66901434,31.67468658,0.9734308515195862
40.55328387,0.0411907,13.41705432,4.110753844962518
45.90591042,0.13517263,35.63697211,11.089245888516094
48.02092402,0.39680679,28.28293614,13.767462747223453
42.863099,0.06474761,9.71520907,28.848676961688387
39.38998993,0.25825625,6.59581252,0.7453326478168557
62.63180241,0.42039218,20.45101623,26.60676678201771
47.33975916,0.20878296,16.55375358,28.061166210387505
38.23856451,0.09035946,22.72216042,11.530456249460817
90.9181979,0.5715467,43.52301885,5.521078563478927
39.33742532,0.1734846,5.3720006,1.8064660708625446
41.40322018,0.14522197,14.41096983,29.46443877553735
59.83538793,0.36453475,28.52304579,24.782257287809397
36.37683965,0.07274372,14.82192558,0.028893912871194093
44.31478786,0.0872985,35.79288403,4.0002404915455445
39.38025633,0.05662512,9.00633996,17.6411966178546
38.61170699,0.03989971,5.42670853,10.642443841427127
43.31517294,0.13171214,20.29949468,14.337144481356953
55.59630819,0.42842384,9.99693035,10.230416435516258
90.03792087,0.6317118,17.15312364,29.641215138553672
89.4854758,0.61696798,12.84859804,11.72070670171058
39.54035516,0.18562162,7.05687716,26.572851080781017
69.00940142,0.47833397,28.81724983,12.79838723514903
44.60432619,0.12539824,34.32228764,4.519397107814226
40.18596665,0.20160372,14.18565196,8.711767719109059
55.0320966,0.29489924,20.86650807,13.409633746151913
40.34141439,0.06179741,14.59537659,3.36211165619543
50.83114133,0.22227784,14.28529131,26.76840304046243
87.76797167,0.59813336,13.86305546,8.14528074752626
56.66263609,0.34961699,14.16572249,18.330840254913685
43.61396222,0.10330136,18.25558959,-0.16886320554122372
43.32581527,0.13116821,28.08558887,0.1706807729113004
42.53909907,0.15568784,32.30613358,17.080375020440293
45.33702787,0.15730542,15.17692354,4.299199415911449
46.31526109,0.34366076,14.38965201,13.280059416993787
38.74838751,0.07878829,24.57404125,-2.7249571766648324
72.31993668,0.55783912,12.22665684,5.353888960751102
40.36409949,0.07148217,18.20599914,33.15117526437006
45.60423229,0.19174341,32.22928677,5.095829357893942
38.97099949,0.11554562,31.47618574,-1.2136818125535147
42.42608949,0.12494091,8.80250466,32.20543038711755
42.93816233,0.1317337,13.28843966,0.44356801917888233
36.40395214,0.15118696,14.53811093,7.6567746729020225
46.74513801,0.16961577,21.61937729,41.6296387209925
51.23413729,0.31278783,38.51262403,7.599686632624218
39.48250719,0.1238484,12.32966308,6.4604193725605334
36.33035817,0.07264636,15.5286671,26.79644364405353
45.40100207,0.07329431,8.25869156,3.657963214461967
55.75454397,0.43496904,37.69020117,16.940723738973748
41.65458781,0.06461949,45.32691537,10.777864152578243
62.18999528,0.38880741,34.1639245,-4.685928037671081
62.69653905,0.21384961,29.49781065,2.234428730921149
38.33663865,0.04511639,32.12991731,4.711043399426379
50.20930421,0.28526889,37.7609822,22.673147780193876
46.34040445,0.24983233,15.27618767,8.45386591287835
50.44724703,0.26568711,34.08545187,13.865974585620256
60.66729419,0.38661657,14.30664752,20.91253712698777
45.66815192,0.1736623,10.7774898,33.165291712097776
65.2103434,0.44259658,18.28969351,30.518404621024796
40.32359672,0.10796064,24.16894566,-0.5355163917028343
103.0570395,0.65326576,26.0412632,3.180921483293083
54.86621587,0.33820318,22.94566127,13.764180349721777
42.0826969,0.06320425,12.62777899,11.20452737511552
48.24697669,0.25058247,31.65010818,2.005832821260269
61.20353497,0.41656362,25.25587551,19.366689160027683
56.60722282,0.37547012,11.58362657,13.726287232160974
43.26179481,0.18270166,33.04988785,25.90351102168853
44.71959706,0.10660171,43.25502629,19.04495532377491
41.04316929,0.06050475,28.28485897,18.464774811437966
43.66521506,0.08222214,5.71758049,23.71174656607304
68.14947942,0.50441345,11.56311021,5.7702231485061715
36.4632144,0.10247004,6.54936406,11.481901016703212
40.73906914,0.08494173,15.7874485,8.111418005913123
46.73361214,0.25540668,13.62002437,2.949251910816778
39.53012187,0.24402106,29.47599045,11.60232871362144
46.783957,0.26129312,27.94917975,8.746056704355718
44.89786883,0.19109916,31.19624995,6.935477099866592
41.26207129,0.04063744,12.80657303,2.356415392207171
45.56662801,0.46133797,10.75972309,2.5977498132811783
44.98583555,0.19567819,10.90025362,2.100186781461546
49.30668348,0.28403292,14.87411481,28.98009790458087
55.3642285,0.45232164,13.03172842,0.7092430466354541
40.58132014,0.10643354,28.88281071,9.541294091237024
41.07341465,0.06046545,26.4487869,17.216394379849227
46.29443245,0.1660726,8.47794424,13.440999486985985
43.23987743,0.07924555,11.7459248,20.86231747308796
40.34937671,0.0409174,20.55769759,2.592954405824583
38.30999668,0.0816883,33.32174183,13.00935922149414
44.73970076,0.12458285,9.48017108,10.32325228782879
44.16726885,0.15021401,21.88537769,36.83700457400265
34.81406745,0.07144126,5.39865133,9.517745368585121
45.91772464,0.13669545,19.58641392,14.58282903644681
42.30173163,0.13023629,6.45874244,29.082609569534323
43.66925233,0.24409993,31.27675809,13.57964909323882
75.6225846,0.42452144,39.84609459,14.619070598752021
39.34288122,0.0263585,37.67452661,7.345778608454384
