number,class,Hr,a,e,inc,c,deltac,class2
101,7:4,5.1,43.66,0.14,25.48,18.33,8.51,res
102,7:4,7.14,43.74,0.11,5.05,32.37,4.44,res
103,7:4,6.71,43.75,0.22,19.51,28.97,2.29,res
104,7:4,6.68,43.59,0.1,6.11,18.98,3.75,res
105,7:4,8.83,43.66,0.25,27.68,11.5,7.3,res
106,7:4,7.22,43.65,0.12,9.73,6.71,3.62,res
107,7:4,6.56,43.73,0.19,13.34,33.59,4.89,res
108,9:5,6.16,44.48,0.14,6.59,34.38,5.19,res
109,9:5,7.21,44.48,0.1,18.3,22.3,1.9,res
110,2:1,8.37,47.89,0.36,11.8,28.36,9.51,res
111,2:1,5.96,47.66,0.37,13.5,25.15,2.21,res
112,2:1,7.12,47.55,0.29,12.69,17.31,1.43,res
113,2:1,8.02,47.42,0.28,23.46,11.16,3.14,res
114,2:1,6.76,47.72,0.28,9.76,-0.62,0.8,res
115,2:1,5.24,47.78,0.22,11.67,15.6,0.77,res
116,2:1,5.18,47.8,0.2,10.01,7.89,0.67,res
117,2:1,7.79,47.78,0.37,13.59,28.62,3.73,res
118,2:1,7.42,47.74,0.34,6.66,21.2,0.6,res
119,2:1,7.94,47.76,0.28,8.34,-2.6,8.5,res
120,9:4,6.94,51.67,0.23,17.04,27.25,6.53,res
121,7:3,7.35,52.77,0.29,5.48,25.97,7,res
122,7:3,7.77,53.07,0.38,13.94,37.59,10.41,res
123,12:5,5.7,53.88,0.28,18.75,24.74,5.47,res
124,12:5,6.18,53.85,0.35,15.73,32.65,3.96,res
125,5:2,7.56,55.18,0.43,9.46,17.97,11.42,res
126,5:2,5.03,55.41,0.42,7.62,20.45,3.32,res
127,5:2,6.76,55.29,0.4,5.87,12.19,1.94,res
128,5:2,7.1,55.09,0.36,12.9,20.8,1.2,res
129,5:2,7.92,55.37,0.44,7.11,14.71,2.9,res
130,5:2,7.43,55.29,0.35,14.68,38.31,4.25,res
131,5:2,5.71,55.55,0.41,7.54,21.97,0.8,res
132,5:2,8.15,55.53,0.42,16.21,10.52,2.64,res
133,5:2,7.38,55.21,0.41,5.62,26.4,9.8,res
