a,e,i,c,Class
42.99994476,0.17378295,28.69057288,-1.1906754240825559,b'Classical'
46.86605,0.12161305,17.04837145,26.539582704940795,b'Resonant 23:11'
62.85632739,0.36495846,38.90087605,-2.4203818247646844,b'Detached'
38.99976717,0.45955142,22.45242293,1.6024182524189985,b'Scattering'
30.16074518,0.01184812,9.63855292,17.84266206438075,b'Resonant 1:1'
42.26936122,0.19702387,9.6309869,29.77184881058996,b'Resonant 5:3'
39.38765951,0.13863209,9.57601248,7.077068329698659,b'Resonant 3:2'
47.69612374,0.17197325,19.28382564,11.967020319203842,b'Resonant 2:1'
55.07270603,0.30933231,26.78545973,12.331265858250816,b'Detached'
39.48975153,0.07700229,30.12484855,21.801093644985535,b'Resonant 3:2'
46.09203813,0.11578406,15.66878613,24.028807933262016,b'Classical'
76.52621432,0.51036509,23.68324435,3.6374786299584363,b'Detached'
47.64798325,0.24564958,25.68891763,22.041007127841755,b'Resonant 2:1'
39.37856098,0.29032761,19.01345312,26.08860903062088,b'Resonant 3:2'
49.02636941,0.34367962,14.3202443,12.965886860491455,b'Scattering'
39.96711994,0.03263212,20.60295734,30.00096870774212,b'Classical'
40.6445037,0.16946167,25.44137142,9.726801108689514,b'Classical'
41.01962958,0.04246193,32.36972434,17.690286102866246,b'Classical'
50.45549221,0.26341109,32.48915599,8.337066916818118,b'Detached'
462.87142999,0.90059623,12.39967911,9.895834547260776,b'Detached'
30.96754307,0.08340081,13.07883559,9.782871509373967,b'Scattering'
54.66040297,0.39372149,37.62948947,6.4522865067091235,b'Detached'
45.82164397,0.16736959,18.98990868,11.269974941885149,b'Classical'
40.20362274,0.10793801,23.15164855,8.24333949245018,b'Classical'
38.86998871,0.11336248,38.96287204,3.6232672404862,b'Classical'
39.55165402,0.22790872,8.70941049,17.378808984167954,b'Resonant 3:2'
46.4397436,0.20571223,20.35997796,14.91855712394422,b'Classical'
42.20356008,0.25685769,21.93922683,24.14770189706662,b'Resonant 5:3'
39.41802985,0.27917408,43.51455814,6.123950207158698,b'Resonant 3:2'
172.69911226,0.78324523,34.99972097,9.519296851078247,b'Detached'
39.24489923,0.251001,12.81870037,12.477274036283022,b'Resonant 3:2'
30.05636082,0.05721526,7.44983004,-5.013670096006146,b'Resonant 1:1'
32.3801417,0.08108492,11.11941924,5.6030291426304775,b'Scattering'
42.89518515,0.09592899,15.43393273,9.43249328373536,b'Classical'
46.80491712,0.07561588,29.16933513,-5.856381125134371,b'Classical'
37.64332971,0.09927659,12.1589567,17.61107157898972,b'Resonant 7:5'
97.20392989,0.6320473,32.68604433,6.2279061420125865,b'Detached'
39.45154986,0.23282574,19.54609883,9.034941031870487,b'Resonant 3:2'
43.64831609,0.1518338,5.41706907,29.929018223041048,b'Resonant 7:4'
120.86270929,0.66901434,31.67468658,0.9734308515195862,b'Detached'
40.55328387,0.0411907,13.41705432,4.110753844962518,b'Classical'
45.90591042,0.13517263,35.63697211,11.089245888516094,b'Classical'
48.02092402,0.39680679,28.28293614,13.767462747223453,b'Scattering'
42.863099,0.06474761,9.71520907,28.848676961688387,b'Classical'
39.38998993,0.25825625,6.59581252,0.7453326478168557,b'Resonant 3:2'
62.63180241,0.42039218,20.45101623,26.60676678201771,b'Resonant 3:1'
47.33975916,0.20878296,16.55375358,28.061166210387505,b'Classical'
38.23856451,0.09035946,22.72216042,11.530456249460817,b'Classical'
90.9181979,0.5715467,43.52301885,5.521078563478927,b'Detached'
39.33742532,0.1734846,5.3720006,1.8064660708625446,b'Resonant 3:2'
41.40322018,0.14522197,14.41096983,29.46443877553735,b'Classical'
59.83538793,0.36453475,28.52304579,24.782257287809397,b'Detached'
36.37683965,0.07274372,14.82192558,0.028893912871194093,b'Resonant 4:3'
44.31478786,0.0872985,35.79288403,4.0002404915455445,b'Classical'
39.38025633,0.05662512,9.00633996,17.6411966178546,b'Resonant 3:2'
38.61170699,0.03989971,5.42670853,10.642443841427127,b'Classical'
43.31517294,0.13171214,20.29949468,14.337144481356953,b'Classical'
55.59630819,0.42842384,9.99693035,10.230416435516258,b'Resonant 5:2'
90.03792087,0.6317118,17.15312364,29.641215138553672,b'Scattering'
89.4854758,0.61696798,12.84859804,11.72070670171058,b'Scattering'
39.54035516,0.18562162,7.05687716,26.572851080781017,b'Resonant 3:2'
69.00940142,0.47833397,28.81724983,12.79838723514903,b'Detached'
44.60432619,0.12539824,34.32228764,4.519397107814226,b'Classical'
40.18596665,0.20160372,14.18565196,8.711767719109059,b'Scattering'
55.0320966,0.29489924,20.86650807,13.409633746151913,b'Detached'
40.34141439,0.06179741,14.59537659,3.36211165619543,b'Classical'
50.83114133,0.22227784,14.28529131,26.76840304046243,b'Resonant 11:5'
87.76797167,0.59813336,13.86305546,8.14528074752626,b'Detached'
56.66263609,0.34961699,14.16572249,18.330840254913685,b'Detached'
43.61396222,0.10330136,18.25558959,-0.16886320554122372,b'Classical'
43.32581527,0.13116821,28.08558887,0.1706807729113004,b'Classical'
42.53909907,0.15568784,32.30613358,17.080375020440293,b'Classical'
45.33702787,0.15730542,15.17692354,4.299199415911449,b'Classical'
46.31526109,0.34366076,14.38965201,13.280059416993787,b'Scattering'
38.74838751,0.07878829,24.57404125,-2.7249571766648324,b'Classical'
72.31993668,0.55783912,12.22665684,5.353888960751102,b'Scattering'
40.36409949,0.07148217,18.20599914,33.15117526437006,b'Classical'
45.60423229,0.19174341,32.22928677,5.095829357893942,b'Classical'
38.97099949,0.11554562,31.47618574,-1.2136818125535147,b'Classical'
42.42608949,0.12494091,8.80250466,32.20543038711755,b'Classical'
42.93816233,0.1317337,13.28843966,0.44356801917888233,b'Classical'
36.40395214,0.15118696,14.53811093,7.6567746729020225,b'Resonant 4:3'
46.74513801,0.16961577,21.61937729,41.6296387209925,b'Classical'
51.23413729,0.31278783,38.51262403,7.599686632624218,b'Detached'
39.48250719,0.1238484,12.32966308,6.4604193725605334,b'Resonant 3:2'
36.33035817,0.07264636,15.5286671,26.79644364405353,b'Resonant 4:3'
45.40100207,0.07329431,8.25869156,3.657963214461967,b'Classical'
